wavelength_um,n_parallel,k_parallel,n_perp,k_perp,n_iso,k_iso
0.206640,0.869629,2.110210,0.943441,2.034003,0.893720,2.084607
0.207670,0.876617,2.128214,0.948328,2.052642,0.900026,2.102842
0.208700,0.883812,2.146491,0.953486,2.071551,0.906560,2.121347
0.209750,0.891229,2.165041,0.958925,2.090724,0.913335,2.140122
0.210810,0.898875,2.183815,0.964616,2.110160,0.920347,2.159131
0.211880,0.906757,2.202961,0.970598,2.129962,0.927612,2.178511
0.212950,0.914892,2.222406,0.976869,2.150076,0.935142,2.198192
0.214040,0.923282,2.242124,0.983452,2.170455,0.942946,2.218143
0.215150,0.931949,2.262141,0.990350,2.191146,0.951038,2.238396
0.216260,0.940894,2.282459,0.997547,2.212138,0.959415,2.258950
0.217380,0.950162,2.303147,1.005136,2.233506,0.968139,2.279874
0.218520,0.959737,2.324209,1.013073,2.255234,0.977182,2.301168
0.219670,0.969636,2.345572,1.021359,2.277266,0.986556,2.322762
0.220830,0.979874,2.367334,1.030002,2.299701,0.996276,2.344757
0.222000,0.990510,2.389442,1.039130,2.322465,1.006422,2.367091
0.223180,1.001491,2.411953,1.048589,2.345617,1.016908,2.389822
0.224380,1.012876,2.434860,1.058508,2.369191,1.027816,2.412958
0.225590,1.024720,2.458142,1.068912,2.393118,1.039192,2.436461
0.226810,1.037058,2.481823,1.079841,2.417456,1.051071,2.460366
0.228050,1.049761,2.505954,1.091166,2.442199,1.063325,2.484706
0.229300,1.063058,2.530483,1.103117,2.467354,1.076183,2.509448
0.230570,1.076821,2.555487,1.115553,2.492962,1.089515,2.534657
0.231840,1.091253,2.580891,1.128670,2.518973,1.103518,2.560267
0.233140,1.106178,2.606768,1.142319,2.545446,1.118026,2.586347
0.234440,1.121769,2.633119,1.156655,2.572377,1.133207,2.612894
0.235770,1.138026,2.659945,1.171677,2.599764,1.149062,2.639910
0.237100,1.154976,2.687342,1.187430,2.627718,1.165621,2.667496
0.238450,1.172741,2.715118,1.203984,2.656015,1.182989,2.695448
0.239820,1.191201,2.743417,1.221252,2.684865,1.201060,2.723933
0.241200,1.210599,2.772239,1.239479,2.714181,1.220074,2.752922
0.242600,1.230864,2.801561,1.258586,2.744001,1.239960,2.782412
0.244020,1.252143,2.831359,1.278694,2.774268,1.260856,2.812368
0.245450,1.274388,2.861731,1.299790,2.805098,1.282724,2.842894
0.246900,1.297747,2.892578,1.321988,2.836377,1.305702,2.873887
0.248370,1.322273,2.923924,1.345369,2.868163,1.329853,2.905381
0.249850,1.348012,2.955745,1.369954,2.900400,1.355213,2.937342
0.251350,1.375065,2.988068,1.395837,2.933133,1.381881,2.969803
0.252870,1.403528,3.020839,1.423132,2.966276,1.409961,3.002700
0.254410,1.433580,3.054039,1.451981,2.999855,1.439618,3.036027
0.255970,1.465144,3.087613,1.482340,3.033789,1.470785,3.069723
0.257550,1.498422,3.121615,1.514397,3.068166,1.503661,3.103850
0.259140,1.533530,3.155894,1.548239,3.102783,1.538352,3.138243
0.260760,1.570625,3.190401,1.584045,3.137639,1.575022,3.172867
0.262390,1.609779,3.225137,1.621872,3.172729,1.613739,3.207722
0.264050,1.651064,3.259903,1.661782,3.207848,1.654571,3.242606
0.265730,1.694782,3.294652,1.704071,3.242981,1.697817,3.277484
0.267430,1.740857,3.329329,1.748691,3.278049,1.743412,3.312292
0.269150,1.789609,3.363692,1.795914,3.312824,1.791659,3.346793
0.270890,1.841067,3.397591,1.845776,3.347191,1.842590,3.380849
