wavelength	n_x	k_x	n_y	k_y	n_z	k_z
0.206640	0.869629	2.110210	0.869629	2.110210	0.943441	2.034003
0.207670	0.876617	2.128214	0.876617	2.128214	0.948328	2.052642
0.208700	0.883812	2.146491	0.883812	2.146491	0.953486	2.071551
0.209750	0.891229	2.165041	0.891229	2.165041	0.958925	2.090724
0.210810	0.898875	2.183815	0.898875	2.183815	0.964616	2.110160
0.211880	0.906757	2.202961	0.906757	2.202961	0.970598	2.129962
0.212950	0.914892	2.222406	0.914892	2.222406	0.976869	2.150076
0.214040	0.923282	2.242124	0.923282	2.242124	0.983452	2.170455
0.215150	0.931949	2.262141	0.931949	2.262141	0.990350	2.191146
0.216260	0.940894	2.282459	0.940894	2.282459	0.997547	2.212138
0.217380	0.950162	2.303147	0.950162	2.303147	1.005136	2.233506
0.218520	0.959737	2.324209	0.959737	2.324209	1.013073	2.255234
0.219670	0.969636	2.345572	0.969636	2.345572	1.021359	2.277266
0.220830	0.979874	2.367334	0.979874	2.367334	1.030002	2.299701
0.222000	0.990510	2.389442	0.990510	2.389442	1.039130	2.322465
0.223180	1.001491	2.411953	1.001491	2.411953	1.048589	2.345617
0.224380	1.012876	2.434860	1.012876	2.434860	1.058508	2.369191
0.225590	1.024720	2.458142	1.024720	2.458142	1.068912	2.393118
0.226810	1.037058	2.481823	1.037058	2.481823	1.079841	2.417456
0.228050	1.049761	2.505954	1.049761	2.505954	1.091166	2.442199
0.229300	1.063058	2.530483	1.063058	2.530483	1.103117	2.467354
0.230570	1.076821	2.555487	1.076821	2.555487	1.115553	2.492962
0.231840	1.091253	2.580891	1.091253	2.580891	1.128670	2.518973
0.233140	1.106178	2.606768	1.106178	2.606768	1.142319	2.545446
0.234440	1.121769	2.633119	1.121769	2.633119	1.156655	2.572377
0.235770	1.138026	2.659945	1.138026	2.659945	1.171677	2.599764
0.237100	1.154976	2.687342	1.154976	2.687342	1.187430	2.627718
0.238450	1.172741	2.715118	1.172741	2.715118	1.203984	2.656015
0.239820	1.191201	2.743417	1.191201	2.743417	1.221252	2.684865
0.241200	1.210599	2.772239	1.210599	2.772239	1.239479	2.714181
0.242600	1.230864	2.801561	1.230864	2.801561	1.258586	2.744001
0.244020	1.252143	2.831359	1.252143	2.831359	1.278694	2.774268
0.245450	1.274388	2.861731	1.274388	2.861731	1.299790	2.805098
0.246900	1.297747	2.892578	1.297747	2.892578	1.321988	2.836377
0.248370	1.322273	2.923924	1.322273	2.923924	1.345369	2.868163
0.249850	1.348012	2.955745	1.348012	2.955745	1.369954	2.900400
0.251350	1.375065	2.988068	1.375065	2.988068	1.395837	2.933133
0.252870	1.403528	3.020839	1.403528	3.020839	1.423132	2.966276
0.254410	1.433580	3.054039	1.433580	3.054039	1.451981	2.999855
0.255970	1.465144	3.087613	1.465144	3.087613	1.482340	3.033789
0.257550	1.498422	3.121615	1.498422	3.121615	1.514397	3.068166
0.259140	1.533530	3.155894	1.533530	3.155894	1.548239	3.102783
0.260760	1.570625	3.190401	1.570625	3.190401	1.584045	3.137639
0.262390	1.609779	3.225137	1.609779	3.225137	1.621872	3.172729
0.264050	1.651064	3.259903	1.651064	3.259903	1.661782	3.207848
0.265730	1.694782	3.294652	1.694782	3.294652	1.704071	3.242981
0.267430	1.740857	3.329329	1.740857	3.329329	1.748691	3.278049
0.269150	1.789609	3.363692	1.789609	3.363692	1.795914	3.312824
0.270890	1.841067	3.397591	1.841067	3.397591	1.845776	3.347191
0.272660	1.895528	3.430828	1.895528	3.430828	1.898586	3.380953
0.274450	1.952892	3.463130	1.952892	3.463130	1.954242	3.413846
0.276260	2.013432	3.494398	2.013432	3.494398	2.013009	3.445768
0.278100	2.077275	3.524138	2.077275	3.524138	2.075024	3.476283
0.279960	2.144393	3.552152	2.144393	3.552152	2.140250	3.505186
0.281850	2.215010	3.578067	2.215010	3.578067	2.208935	3.532117
0.283760	2.288956	3.601365	2.288956	3.601365	2.280917	3.556594
0.285700	2.366281	3.621700	2.366281	3.621700	2.356283	3.578296
